City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,albany,US,42.6001,-73.9662,50.67,65,100,7.9,overcast clouds
82,krasnoselkup,RU,65.7,82.4667,30.58,73,100,13.18,overcast clouds
83,ahipara,NZ,-35.1667,173.1667,60.94,84,66,12.48,broken clouds
84,kaitangata,NZ,-46.2817,169.8464,50.29,56,54,15.79,broken clouds
85,valparaiso,CL,-33.0393,-71.6273,56.48,93,100,3.44,overcast clouds
86,port elizabeth,ZA,-33.918,25.5701,59.09,77,16,17.81,few clouds
87,raudeberg,NO,61.9875,5.1352,50.67,1,64,21.32,broken clouds
88,buin,CL,-33.7333,-70.75,70.43,79,1,3.51,clear sky
89,okha,RU,53.5739,142.9478,47.93,79,100,13.22,overcast clouds
90,deputatskiy,RU,69.3,139.9,8.29,94,99,4.18,overcast clouds
91,nanortalik,GL,60.1432,-45.2371,36.73,83,37,10.85,scattered clouds
92,noumea,NC,-22.2763,166.4572,73.99,99,100,10.02,overcast clouds
93,kapaa,US,22.0752,-159.319,81.19,79,85,4.0,overcast clouds
94,pingyin,CN,36.2831,116.4453,68.04,93,60,4.74,broken clouds
95,acapulco,MX,16.8634,-99.8901,84.02,65,20,5.75,few clouds
96,pevek,RU,69.7008,170.3133,30.52,86,100,10.36,overcast clouds
97,riyadh,SA,24.6877,46.7219,73.54,15,0,5.73,clear sky
98,saskylakh,RU,71.9167,114.0833,26.08,94,100,13.47,overcast clouds
99,ponta do sol,PT,32.6667,-17.1,70.43,82,20,3.62,few clouds
100,ribeira grande,PT,38.5167,-28.7,71.74,87,96,10.16,light rain
101,clyde river,CA,70.4692,-68.5914,30.43,64,100,6.91,overcast clouds
102,santiago del estero,AR,-27.7951,-64.2615,73.94,31,0,6.04,clear sky
103,adrar,MR,20.5022,-10.0711,89.1,32,93,7.31,light rain
104,vaasa,FI,63.096,21.6158,42.94,100,75,2.3,fog
105,eydhafushi,MV,5.1033,73.0708,80.13,78,100,20.24,overcast clouds
106,touros,BR,-5.1989,-35.4608,76.82,74,9,15.46,clear sky
107,san juan,AR,-31.5375,-68.5364,76.28,28,0,20.89,clear sky
108,champerico,GT,14.3,-91.9167,81.14,84,89,2.06,overcast clouds
109,roald,NO,62.5833,6.1333,52.32,82,75,17.27,light rain
110,vaini,TO,-21.2,-175.2,78.96,78,75,11.5,broken clouds
111,ilulissat,GL,69.2167,-51.1,30.22,86,100,3.44,overcast clouds
112,ngunguru,NZ,-35.6167,174.5,61.7,80,42,12.91,scattered clouds
113,lata,PT,40.1629,-8.3327,60.08,38,15,4.32,few clouds
114,puerto ayora,EC,-0.7393,-90.3518,64.54,93,85,8.01,overcast clouds
115,lavrentiya,RU,65.5833,-171.0,39.38,70,28,11.61,scattered clouds
116,slavyanka,RU,42.8633,131.3847,61.34,94,100,11.16,overcast clouds
117,contramaestre,CU,20.2978,-76.2414,76.24,90,100,3.33,overcast clouds
118,la libertad,EC,-2.2333,-80.9,69.12,82,66,8.19,broken clouds
119,georgetown,MY,5.4112,100.3354,79.9,86,20,0.0,few clouds
120,arcata,US,40.8665,-124.0828,71.67,79,100,5.75,overcast clouds
121,lagoa,PT,39.05,-27.9833,70.74,87,100,3.8,light rain
122,norman wells,CA,65.282,-126.8329,38.89,69,73,1.05,broken clouds
123,nikolskoye,RU,59.7035,30.7861,44.49,92,97,6.04,overcast clouds
124,purpe,RU,64.4803,76.6897,31.89,75,99,16.04,overcast clouds
125,usakos,NA,-22.0,15.6,72.5,20,23,2.15,few clouds
126,tema,GH,5.667,-0.0166,76.68,84,56,7.31,broken clouds
127,morros,BR,-9.4467,-46.3003,87.46,24,33,3.98,scattered clouds
128,hasaki,JP,35.7333,140.8333,76.21,66,99,6.71,overcast clouds
129,axim,GH,4.8699,-2.2405,74.8,91,30,4.79,scattered clouds
130,rexburg,US,43.826,-111.7897,65.71,42,100,3.44,overcast clouds
131,faanui,PF,-16.4833,-151.75,78.91,72,31,14.25,scattered clouds
132,fairbanks,US,64.8378,-147.7164,45.09,87,100,0.0,light rain
133,port lincoln,AU,-34.7333,135.8667,62.71,64,100,13.35,overcast clouds
134,de-kastri,RU,51.4667,140.7833,49.77,97,100,2.71,light rain
135,qaqortoq,GL,60.7167,-46.0333,35.24,68,26,2.21,scattered clouds
136,atuona,PF,-9.8,-139.0333,76.86,76,23,16.91,light rain
137,selfoss,IS,63.9331,-20.9971,50.04,95,100,12.77,moderate rain
138,nome,US,64.5011,-165.4064,46.17,57,0,9.22,clear sky
139,inzer,RU,54.2167,57.5556,44.1,67,96,4.03,overcast clouds
140,saint-philippe,RE,-21.3585,55.7679,65.79,78,24,8.5,few clouds
141,nakusp,CA,50.2499,-117.8023,66.54,55,0,1.14,clear sky
142,butaritari,KI,3.0707,172.7902,82.72,71,70,19.15,broken clouds
143,bondowoso,ID,-7.9135,113.8214,77.88,85,94,2.46,overcast clouds
144,grindavik,IS,63.8424,-22.4338,50.47,93,75,20.71,broken clouds
145,vao,NC,-22.6667,167.4833,70.12,73,100,14.32,overcast clouds
146,fort-shevchenko,KZ,44.5086,50.263,62.55,33,78,31.65,broken clouds
147,namibe,AO,-15.1961,12.1522,63.46,88,17,5.46,few clouds
148,husavik,IS,66.0449,-17.3389,43.92,80,81,10.65,broken clouds
149,castro,BR,-24.7911,-50.0119,59.94,89,55,4.65,broken clouds
150,provideniya,RU,64.3833,-173.3,41.36,75,40,13.42,scattered clouds
151,venado tuerto,AR,-33.7456,-61.9688,68.77,33,17,8.52,few clouds
152,cusuna,HN,15.85,-85.2333,76.28,80,63,4.25,broken clouds
153,saldanha,ZA,-33.0117,17.9442,56.88,83,3,2.08,clear sky
154,ust-barguzin,RU,53.45,108.9833,33.85,61,98,3.83,overcast clouds
155,arlit,NE,18.7369,7.3853,91.99,11,0,13.42,clear sky
156,codrington,AU,-38.2667,141.9667,59.97,69,99,3.06,overcast clouds
157,lebu,CL,-37.6167,-73.65,50.52,86,83,4.54,broken clouds
158,balkanabat,TM,39.5108,54.3671,62.73,15,1,14.83,clear sky
159,iguape,BR,-24.7081,-47.5553,65.75,93,17,5.41,few clouds
160,astana,KZ,51.1801,71.446,19.35,86,0,11.18,clear sky
161,shaoguan,CN,24.8,113.5833,81.86,70,0,0.58,clear sky
162,albert lea,US,43.648,-93.3683,67.89,45,0,3.44,clear sky
163,salalah,OM,17.0151,54.0924,80.69,78,75,5.75,broken clouds
164,huilong,CN,31.8111,121.655,81.93,85,0,15.35,clear sky
165,kavieng,PG,-2.5744,150.7967,84.83,67,5,9.17,light rain
166,ugoofaaru,MV,5.6667,73.0,79.88,78,100,20.38,overcast clouds
167,east london,ZA,-33.0153,27.9116,66.65,93,28,6.02,scattered clouds
168,san cristobal,VE,7.7669,-72.225,67.1,94,76,2.57,broken clouds
169,villagarzon,CO,1.0375,-76.6267,71.31,90,61,5.06,broken clouds
170,fortuna,US,40.5982,-124.1573,64.92,76,19,4.0,few clouds
171,sioux lookout,CA,50.1001,-91.917,59.07,72,20,4.61,few clouds
172,satwas,IN,22.5333,76.6833,70.99,80,17,5.01,few clouds
173,batemans bay,AU,-35.7167,150.1833,59.09,56,10,5.41,clear sky
174,santa helena de goias,BR,-17.8136,-50.5969,75.02,68,89,8.93,overcast clouds
175,new york,US,40.7143,-74.006,56.86,52,75,24.0,broken clouds
176,dhidhdhoo,MV,6.8833,73.1,80.26,78,100,24.32,overcast clouds
177,tabou,CI,4.423,-7.3528,75.47,92,90,6.31,light rain
178,puerto escondido,MX,15.85,-97.0667,85.03,58,40,4.61,scattered clouds
179,chardara,KZ,41.2547,67.9692,54.27,30,37,5.35,scattered clouds
180,christchurch,NZ,-43.5333,172.6333,58.91,60,100,10.36,overcast clouds
181,katwijk,NL,52.1942,4.4222,54.97,87,0,8.5,clear sky
182,sheltozero,RU,61.3667,35.3667,45.1,69,98,10.89,overcast clouds
183,grand gaube,MU,-20.0064,57.6608,70.2,66,48,5.01,scattered clouds
184,safaga,EG,26.7292,33.9365,86.49,40,0,13.35,clear sky
185,hobart,AU,-42.8794,147.3294,58.05,72,75,8.05,broken clouds
186,aketi,CD,2.7388,23.7833,69.8,100,89,1.61,overcast clouds
187,port keats,AU,-14.25,129.55,86.2,49,8,1.86,clear sky
188,saint anthony,US,45.0205,-93.218,69.75,57,0,11.5,clear sky
189,villazon,BO,-22.0866,-65.5942,45.79,69,92,12.62,overcast clouds
190,umm kaddadah,SD,13.6017,26.6876,83.82,47,69,11.74,light rain
191,poum,NC,-20.2333,164.0167,74.5,66,95,14.25,overcast clouds
192,torbay,CA,47.6666,-52.7314,45.27,76,75,8.05,broken clouds
193,sao joao da barra,BR,-21.6403,-41.0511,71.64,88,43,4.68,scattered clouds
194,raymondville,US,26.4815,-97.7831,82.51,55,67,11.74,broken clouds
195,la romana,DO,18.4273,-68.9728,79.16,94,75,0.0,broken clouds
196,sitka,US,57.0531,-135.33,55.29,67,20,4.61,few clouds
197,hovd,MN,48.0056,91.6419,20.01,46,4,3.51,clear sky
198,envira,BR,-7.3,-70.2167,72.64,91,74,3.56,broken clouds
199,narsaq,GL,60.9167,-46.05,37.62,62,41,4.5,scattered clouds
200,khatanga,RU,71.9667,102.5,24.19,96,100,11.36,light snow
201,khandyga,RU,62.6667,135.6,25.05,51,72,4.41,broken clouds
202,aguada de pasajeros,CU,22.385,-80.8508,73.24,84,45,6.31,moderate rain
203,zheleznodorozhnyy,RU,55.7503,38.0042,59.14,97,100,12.95,light rain
204,cidreira,BR,-30.1811,-50.2056,61.18,89,44,7.11,scattered clouds
205,kirakira,SB,-10.4544,161.9205,82.9,77,48,6.31,scattered clouds
206,wewak,PG,-3.5534,143.6268,83.37,73,45,6.24,scattered clouds
207,liepaja,LV,56.5419,21.0367,49.98,93,100,14.97,overcast clouds
208,saint george,US,37.1041,-113.5841,86.43,42,40,13.8,scattered clouds
209,mehamn,NO,71.0357,27.8492,40.91,93,100,3.44,overcast clouds
210,dormidontovka,RU,47.7702,134.9076,62.2,77,99,12.35,overcast clouds
211,saint-augustin,CA,51.226,-58.6502,40.06,50,52,10.65,broken clouds
212,tomatlan,MX,19.9333,-105.25,74.95,93,100,5.35,overcast clouds
213,imbituba,BR,-28.24,-48.6703,61.32,88,21,8.46,few clouds
214,jizan,SA,17.3333,42.6667,85.14,54,48,0.76,scattered clouds
215,los llanos de aridane,ES,28.6585,-17.9182,69.12,59,100,9.22,overcast clouds
216,nagua,DO,19.3832,-69.8474,78.17,90,100,4.76,overcast clouds
217,bandarbeyla,SO,9.4942,50.8122,76.93,82,97,23.33,overcast clouds
218,ostrovnoy,RU,68.0531,39.5131,35.13,85,50,10.11,scattered clouds
219,marawi,PH,7.9986,124.2928,75.63,79,100,1.12,overcast clouds
220,klaksvik,FO,62.2266,-6.589,52.72,88,42,21.99,scattered clouds
221,sinnamary,GF,5.3833,-52.95,79.25,88,98,9.08,overcast clouds
222,meulaboh,ID,4.1363,96.1285,75.99,85,98,3.04,overcast clouds
223,souillac,MU,-20.5167,57.5167,70.18,78,40,14.97,scattered clouds
224,mahebourg,MU,-20.4081,57.7,70.09,78,40,14.97,scattered clouds
225,carnarvon,AU,-24.8667,113.6333,66.52,56,0,18.12,clear sky
226,turceni,RO,44.6833,23.3667,55.22,66,59,3.11,broken clouds
227,khash,IR,28.2211,61.2158,62.91,26,0,4.34,clear sky
228,kahului,US,20.8947,-156.47,79.84,94,32,8.01,scattered clouds
229,balud,PH,10.1476,123.6953,85.96,77,97,7.23,overcast clouds
230,egvekinot,RU,66.3167,-179.1667,28.63,71,97,5.06,overcast clouds
231,chuy,UY,-33.6971,-53.4616,53.98,85,3,6.46,clear sky
232,kodinar,IN,20.7903,70.7031,77.67,81,13,7.54,few clouds
233,maniwaki,CA,46.3834,-75.966,39.58,81,0,2.3,clear sky
234,broken hill,AU,-31.95,141.4333,69.71,33,72,15.5,broken clouds
235,verkhoyansk,RU,67.5447,133.385,18.7,93,94,3.33,overcast clouds
