City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
326,balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
331,sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
333,santa,PH,83.01,few clouds,17.486,120.4348,Monte Leah Beach Resort
334,sao felix do xingu,BR,80.26,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
337,ganzhou,CN,86.61,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
342,bacolod,PH,82.54,overcast clouds,10.6667,122.95,Planta Hotel & Residences
348,abu zabad,SD,78.49,clear sky,12.35,29.25,حامد محمد نور
352,corn island,NI,82.44,overcast clouds,12.1694,-83.0418,Big Fish Guest House
355,yicheng,CN,82.87,clear sky,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
356,akyab,MM,78.76,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
364,tual,ID,82.74,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
367,mahibadhoo,MV,80.74,moderate rain,3.7833,72.9667,Omadhoo Inn
374,cockburn town,TC,83.25,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
379,chilliwack,CA,81.1,clear sky,49.1747,-121.9443,Coast Chilliwack Hotel by APA
380,tecoanapa,MX,81.12,scattered clouds,16.5167,-98.75,Hotel Manglares
383,angoram,PG,86.83,broken clouds,-4.0625,144.0661,
385,manokwari,ID,83.62,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
388,itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
389,kerema,PG,83.55,overcast clouds,-7.9631,145.7785,Frena Lodge
390,gushikawa,JP,83.79,scattered clouds,26.3544,127.8686,Kirari Guest House
398,umm lajj,SA,84.85,clear sky,25.0213,37.2685,Moon light Furnished Units
400,banda aceh,ID,79.61,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
409,kavaratti,IN,79.95,overcast clouds,10.5669,72.642,Green leaf
412,dwarka,IN,80.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
423,zhuhai,CN,84.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
427,bull savanna,JM,77.65,overcast clouds,17.8868,-77.5902,Big Red's
428,manuk mangkaw,PH,83.59,overcast clouds,4.8,119.85,
433,lengshuijiang,CN,81.19,clear sky,27.6881,111.4294,Sheraton
435,nishihara,JP,83.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
436,seminole,US,79.2,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
441,lazaro cardenas,MX,80.42,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
446,araguacu,BR,81.05,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
454,trinidad,BO,83.84,broken clouds,-14.8333,-64.9,Hotel Piesta
458,biltine,TD,78.98,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
460,vanimo,PG,84.31,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
461,natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
469,padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
475,karaikkudi,IN,80.06,overcast clouds,10.0667,78.7833,Hotel Meyyappaa
480,gizo,SB,83.48,broken clouds,-8.103,156.8419,Imagination Island
486,altamira,BR,80.13,overcast clouds,-3.2033,-52.2064,Requinte Hotel
489,victoria,HK,87.24,few clouds,22.2855,114.1577,Mini Central
490,rockport,US,80.01,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
500,bilma,NE,88.95,clear sky,18.6853,12.9164,Expeditions Ténére voyages
502,tautira,PF,77.67,overcast clouds,-17.7333,-149.15,Pension Oaoa
504,shasta lake,US,87.55,clear sky,40.6804,-122.3708,Shasta Dam Motel
506,remanso,BR,81.3,few clouds,-9.6179,-42.0831,Hotel Mangueira
510,isabela,PH,82.45,overcast clouds,6.7085,121.9711,Isawad Resort
512,thinadhoo,MV,82.09,overcast clouds,0.5333,72.9333,
515,benjamin hill,MX,83.35,clear sky,30.1667,-111.1,Hotel Benjamín Hill
520,ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
526,wanning,CN,80.8,scattered clouds,18.8003,110.3967,Paradise Hotel
530,tambopata,PE,78.48,few clouds,-12.7333,-69.1833,Enashawa Lodge
531,qui nhon,VN,77.77,overcast clouds,13.7667,109.2333,Seagull Hotel
534,hambantota,LK,79.88,overcast clouds,6.1241,81.1185,Bungalow 63
536,puerto cabezas,NI,77.86,overcast clouds,14.0351,-83.3888,Cabaña Caribe
538,san antonio,US,82.04,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
540,bodden town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
546,isla vista,US,77.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
547,alyangula,AU,83.95,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
550,santa cruz del sur,CU,80.37,broken clouds,20.7147,-77.9956,
